Fill:0
#tile-x-y
5,-13,-10
1,-12,-10
1,-11,-10
1,-10,-10
1,-9,-10
1,-8,-10
1,-7,-10
1,-6,-10
1,-5,-10
1,-4,-10
1,-3,-10
1,-2,-10
1,-1,-10
1,0,-10
1,1,-10
1,2,-10
1,3,-10
1,4,-10
1,5,-10
1,6,-10
1,7,-10
1,8,-10
1,9,-10
1,10,-10
1,11,-10
1,12,-10
1,13,-10
1,14,-10
1,15,-10
7,16,-10
4,-13,-9
4,-13,-8
4,-13,-7
4,-13,-6
4,-13,-5
4,-13,-4
4,-13,-3
4,-13,-2
4,-13,-1
4,-13,0
4,-13,1
4,-13,2
4,-13,3
4,-13,4
4,-13,5
4,-13,6
4,-13,7
6,-13,8
2,-12,8
2,-11,8
2,-10,8
2,-9,8
2,-8,8
2,-7,8
2,-6,8
2,-5,8
2,-4,8
2,-3,8
2,-2,8
2,-1,8
2,0,8
2,1,8
2,2,8
2,3,8
2,4,8
2,5,8
2,6,8
2,7,8
2,8,8
2,9,8
2,10,8
2,11,8
2,12,8
2,13,8
2,14,8
2,15,8
8,16,8
3,16,-9
3,16,-8
3,16,-7
3,16,-6
3,16,-5
3,16,-4
3,16,-3
3,16,-2
3,16,-1
3,16,0
3,16,1
3,16,2
3,16,3
3,16,4
3,16,5
3,16,6
3,16,7
